Rank,Video Uploads,Subscribers,Video views
380,1031,3886360,2653184170
381,1824,1952190,2634818164
382,314,8053378,4579379824
383,4449,-- ,70680037
384,3502,2775635,1733863531
385,1232,6735667,1909329812
386,9197,4184884,6194595714
387,2798,16032156,4718424990
388,2709,4990716,2003373411
389,695,8831316,6994765647
390,11,12685253,2612504875
391,214,9702841,2582895675
392,70,-- ,370257049
393,1579,-- ,514253195
394,630,4808885,2489747155
395,8177,2646160,3506432060
396,4313,2450645,3597618217
397,14632,4020969,2036985343
398,37,1313196,393630715
399,14718,5410907,3383609663
400,104,718687,175347702
401,129191,10679348,8056294817
402,4267,1489506,729940719
403,2689,2114721,1512264736
404,992,5018248,2143367052
405,16299,340403,410943636
406,369,4363996,1910133334
407,132,4159780,3687360151
408,136,1466132,565375531
409,4889,5116532,3865093349
410,945,1178829,1500659550
411,164,-- ,581905887
412,166,5699402,1982602090
413,2740,2516727,1768852473
414,2162,7624064,1783864167
415,5904,1078228,1112855844
416,18326,3977783,3031861293
417,3442,15018366,6057239871
418,46,3804619,716709482
419,1351,1212057,2734803314
420,146,2562315,2129623713
421,1591,4036875,1744990310
422,240,4308377,743249597
423,7344,3048075,2462265858
424,3226,2348868,715715655
425,445,2040038,983320601
426,63,978949,471248782
427,27103,5620849,5783417467
428,6013,2937893,1894511245
429,331,2719453,1030161157
430,68,2382616,551969826
431,27261,2564421,2394808587
432,89,2308056,905063331
433,425,1674121,1365779337
434,417,2507568,474832282
435,3367,75204,55530034
436,123,34284457,17806717170
437,2922,5340320,2180744624
438,1448,1637590,802845001
439,556,6284767,3429851617
440,46,2025006,996504205
441,13570,3156767,2240702588
442,71230,3460726,2713462365
443,55857,3551228,2355053169
444,35,2020441,1017381875
445,474,1155142,724294260
446,55,4988442,1653213776
447,1385,3392050,1934297777
448,48916,2805442,1954282147
449,67,6067950,3889083754
450,2588,4043040,5203293409
451,2498,6544181,5141974207
452,119,3583808,1761645630
453,75,3862981,1167700114
454,80,358149,76656569
455,179,17669,60612460
456,55,1401968,333811236
457,8,334698,41216964
458,15,-- ,189292327
459,12892,3847648,1937954166
460,542,1347687,1707375215
461,5448,135115,178350550
462,532,17945959,2051125858
463,113,3101776,606853080
464,7172,6387141,4862689027
465,140,979196,323870835
466,60513,1416231,1035395290
467,130,1093254,65664124
468,162,7949807,5179163640
469,48,2540686,386270219
470,854,2914807,1170885826
471,1891,1894980,1348031374
472,71,129991,83462115
473,44,11386718,6743491448
474,1897,4422554,2361822451
475,162,3671418,2858271708
476,260,3061713,866717463
477,869,5135349,1343344807
478,845,9229278,7597128741
479,94,1213669,340773472
480,99,635626,279116731
481,1723,17927894,7029613955
482,364,6959392,2664624642
483,98889,2464042,1966034210
484,170,164336,89243332
485,10323,3389469,1825619072
486,172,4723922,1063983913
487,92,425702,71272697
488,76,1933580,619646473
489,3805,4652958,3205836807
490,312,5895361,1262196983
491,6630,41399,51660243
492,1724,16966855,4241490038
493,1297,3178186,2553263519
494,1005,23439171,7606645215
495,441,-- ,1189373100
496,247,75635,235743811
497,232,7865077,3677335841
498,7470,2075757,2156357155
499,428,4393726,2440245047
500,161,746287,188785092
501,491,12586430,6185387985
502,7401,3186413,1565396141
503,80,7846973,2677839550
504,137,142215,1637310766
505,43754,4406595,4274525661
506,1912,2883199,3702280518
507,6731,6558413,1430595927
508,16,6759682,802308602
509,102,11576519,5074341586
510,871,-- ,903664776
511,269,1081947,216607117
